Year,total_pop,fem_pop,male_pop,total_death,fem_death,male_death,total_mortality,fem_mortality,male_mortality,Grouped Age_0-24,Grouped Age_24-64,Grouped Age_65+,max_temp,min_temp,median_temp,diff_temp
1876,1349931.0,680575.0,669356.0,29015.0,13480.0,15535.0,0.02149,0.01981,0.02321,1,0,0,13.58,-4.41,3.66,17.99
1876,1248984.0,647407.0,601577.0,21958.0,10280.0,11678.0,0.01758,0.01588,0.01941,0,1,0,13.58,-4.41,3.66,17.99
1876,149006.49,76654.0,72352.49,15846.0,7939.0,7907.0,0.10634,0.10357,0.10928,0,0,1,13.58,-4.41,3.66,17.99
1877,1363749.0,687192.0,676557.0,30429.0,14187.0,16242.0,0.02231,0.02064,0.02401,1,0,0,13.51,-3.45,2.63,16.96
1877,1252775.0,649420.0,603355.0,20147.0,9693.0,10454.0,0.01608,0.01493,0.01733,0,1,0,13.51,-3.45,2.63,16.96
1877,149627.44000000003,77169.43,72458.01,14777.0,7547.0,7230.0,0.09876,0.0978,0.09978,0,0,1,13.51,-3.45,2.63,16.96
1878,1376956.0,693685.0,683271.0,29486.0,13953.0,15533.0,0.02141,0.02011,0.02273,1,0,0,12.16,-6.36,4.28,18.52
1878,1256613.0,651316.0,605297.0,20203.0,9679.0,10524.0,0.01608,0.01486,0.01739,0,1,0,12.16,-6.36,4.28,18.52
1878,150903.4,78007.07000000002,72896.33,15622.0,8048.0,7574.0,0.10352,0.10317,0.1039,0,0,1,12.16,-6.36,4.28,18.52
1879,1389040.0,700182.0,688858.0,26540.0,12392.0,14148.0,0.01911,0.0177,0.02054,1,0,0,14.02,-8.4,2.16,22.42
1879,1260243.0,652978.0,607265.0,20798.0,9993.0,10805.0,0.0165,0.0153,0.01779,0,1,0,14.02,-8.4,2.16,22.42
1879,152121.16,78745.48,73375.68,16313.0,8268.0,8045.0,0.10724,0.105,0.10964,0,0,1,14.02,-8.4,2.16,22.42
1880,1398315.0,705054.0,693261.0,26559.0,12378.0,14181.0,0.01899,0.01756,0.02046,1,0,0,13.67,-6.41,4.57,20.08
1880,1264785.0,655041.0,609744.0,20127.0,9702.0,10425.0,0.01591,0.01481,0.0171,0,1,0,13.67,-6.41,4.57,20.08
1880,153558.59,79738.58,73820.01,15536.99,7914.0,7622.99,0.10118,0.09925,0.10326,0,0,1,13.67,-6.41,4.57,20.08
1881,1414367.0,713111.0,701256.0,28251.0,13400.0,14851.0,0.01997,0.01879,0.02118,1,0,0,15.24,-6.82,2.78,22.06
1881,1270358.0,657665.0,612693.0,20234.0,9683.0,10551.0,0.01593,0.01472,0.01722,0,1,0,15.24,-6.82,2.78,22.06
1881,155192.49,80926.48000000001,74266.01000000001,15494.0,7940.0,7554.0,0.09984,0.09811,0.10172,0,0,1,15.24,-6.82,2.78,22.06
1882,1421099.0,716630.0,704469.0,25944.0,12196.0,13748.0,0.01826,0.01702,0.01952,1,0,0,10.95,-2.38,3.94,13.33
