Year,total_pop_sum,fem_pop_sum,male_pop_sum,total_death_sum,fem_death_sum,male_death_sum,total_mortality,fem_mortality,male_mortality,Age_0_24,Age_25_64,Age_65_plus,max_temp,min_temp,median_temp,diff_temp
1876,1349931,680575,669356,29015,13480,15535,0.02149,0.01981,0.02321,1,0,0,13.58,-4.41,3.66,17.99
1876,1248984,647407,601577,21958,10280,11678,0.01758,0.01588,0.01941,0,1,0,13.58,-4.41,3.66,17.99
1876,149006.49,76654,72352.49,15846,7939,7907,0.10634,0.10357,0.10928,0,0,1,13.58,-4.41,3.66,17.99
1877,1363749,687192,676557,30429,14187,16242,0.02231,0.02064,0.02401,1,0,0,13.51,-3.45,2.63,16.96
1877,1252775,649420,603355,20147,9693,10454,0.01608,0.01493,0.01733,0,1,0,13.51,-3.45,2.63,16.96
1877,149627.44,77169.43,72458.01,14777,7547,7230,0.09876,0.0978,0.09978,0,0,1,13.51,-3.45,2.63,16.96
1878,1376956,693685,683271,29486,13953,15533,0.02141,0.02011,0.02273,1,0,0,12.16,-6.36,4.28,18.52
1878,1256613,651316,605297,20203,9679,10524,0.01608,0.01486,0.01739,0,1,0,12.16,-6.36,4.28,18.52
1878,150903.4,78007.07,72896.33,15622,8048,7574,0.10352,0.10317,0.1039,0,0,1,12.16,-6.36,4.28,18.52
1879,1389040,700182,688858,26540,12392,14148,0.01911,0.0177,0.02054,1,0,0,14.02,-8.4,2.16,22.42
1879,1260243,652978,607265,20798,9993,10805,0.0165,0.0153,0.01779,0,1,0,14.02,-8.4,2.16,22.42
1879,152121.16,78745.48,73375.68,16313,8268,8045,0.10724,0.105,0.10964,0,0,1,14.02,-8.4,2.16,22.42
1880,1398315,705054,693261,26559,12378,14181,0.01899,0.01756,0.02046,1,0,0,13.67,-6.41,4.57,20.08
1880,1264785,655041,609744,20127,9702,10425,0.01591,0.01481,0.0171,0,1,0,13.67,-6.41,4.57,20.08
1880,153558.59,79738.58,73820.01,15536.99,7914,7622.99,0.10118,0.09925,0.10326,0,0,1,13.67,-6.41,4.57,20.08
1881,1414367,713111,701256,28251,13400,14851,0.01997,0.01879,0.02118,1,0,0,15.24,-6.82,2.78,22.06
1881,1270358,657665,612693,20234,9683,10551,0.01593,0.01472,0.01722,0,1,0,15.24,-6.82,2.78,22.06
1881,155192.49,80926.48,74266.01,15494,7940,7554,0.09984,0.09811,0.10172,0,0,1,15.24,-6.82,2.78,22.06
1882,1421099,716630,704469,25944,12196,13748,0.01826,0.01702,0.01952,1,0,0,10.95,-2.38,3.94,13.33
