Year,total_pop,fem_pop,male_pop,total_death,fem_death,male_death,total_mortality,fem_mortality,male_mortality,Grouped Age_0-24,Grouped Age_24-64,Grouped Age_65+
1876,1349931.0,680575.0,669356.0,29015.0,13480.0,15535.0,0.021,0.02,0.023,1,0,0
1876,1248984.0,647407.0,601577.0,21958.0,10280.0,11678.0,0.018,0.016,0.019,0,1,0
1876,149006.49,76654.0,72352.49,15846.0,7939.0,7907.0,0.106,0.104,0.109,0,0,1
1877,1363749.0,687192.0,676557.0,30429.0,14187.0,16242.0,0.022,0.021,0.024,1,0,0
1877,1252775.0,649420.0,603355.0,20147.0,9693.0,10454.0,0.016,0.015,0.017,0,1,0
1877,149627.44000000003,77169.43,72458.01,14777.0,7547.0,7230.0,0.099,0.098,0.1,0,0,1
1878,1376956.0,693685.0,683271.0,29486.0,13953.0,15533.0,0.021,0.02,0.023,1,0,0
1878,1256613.0,651316.0,605297.0,20203.0,9679.0,10524.0,0.016,0.015,0.017,0,1,0
1878,150903.4,78007.07000000002,72896.33,15622.0,8048.0,7574.0,0.104,0.103,0.104,0,0,1
1879,1389040.0,700182.0,688858.0,26540.0,12392.0,14148.0,0.019,0.018,0.021,1,0,0
1879,1260243.0,652978.0,607265.0,20798.0,9993.0,10805.0,0.017,0.015,0.018,0,1,0
1879,152121.16,78745.48,73375.68,16313.0,8268.0,8045.0,0.107,0.105,0.11,0,0,1
1880,1398315.0,705054.0,693261.0,26559.0,12378.0,14181.0,0.019,0.018,0.02,1,0,0
1880,1264785.0,655041.0,609744.0,20127.0,9702.0,10425.0,0.016,0.015,0.017,0,1,0
1880,153558.59,79738.58,73820.01,15536.99,7914.0,7622.99,0.101,0.099,0.103,0,0,1
1881,1414367.0,713111.0,701256.0,28251.0,13400.0,14851.0,0.02,0.019,0.021,1,0,0
1881,1270358.0,657665.0,612693.0,20234.0,9683.0,10551.0,0.016,0.015,0.017,0,1,0
1881,155192.49,80926.48000000001,74266.01000000001,15494.0,7940.0,7554.0,0.1,0.098,0.102,0,0,1
1882,1421099.0,716630.0,704469.0,25944.0,12196.0,13748.0,0.018,0.017,0.02,1,0,0
1882,1273528.0,660120.0,613408.0,20766.0,9928.0,10838.0,0.016,0.015,0.018,0,1,0
1882,156372.88000000003,81830.87,74542.01,16139.0,8395.0,7744.0,0.103,0.103,0.104,0,0,1
1883,1426698.0,719443.0,707255.0,23415.0,11173.0,12242.0,0.016,0.016,0.017,1,0,0
1883,1276345.0,662525.0,613820.0,19770.0,9602.0,10168.0,0.015,0.014,0.017,0,1,0
1883,157195.55,82453.48000000001,74742.07,15548.0,8081.0,7467.0,0.099,0.098,0.1,0,0,1
1884,1432849.0,722246.0,710603.0,23339.0,10921.0,12418.0,0.016,0.015,0.017,1,0,0
1884,1280389.0,665413.0,614976.0,19710.0,9634.0,10076.0,0.015,0.014,0.016,0,1,0
1884,158134.6,83274.98999999999,74859.60999999999,15252.0,7842.0,7410.0,0.096,0.094,0.099,0,0,1
1885,1439999.0,725897.0,714102.0,24614.0,11622.0,12992.0,0.017,0.016,0.018,1,0,0
1885,1284287.0,668024.0,616263.0,20747.0,10094.0,10653.0,0.016,0.015,0.017,0,1,0
1885,159877.17,84455.63,75421.54,16187.0,8477.0,7710.0,0.101,0.1,0.102,0,0,1
1886,1444457.0,728338.0,716119.0,23265.0,11133.0,12132.0,0.016,0.015,0.017,1,0,0
1886,1286555.0,669959.0,616596.0,20512.0,9935.0,10577.0,0.016,0.015,0.017,0,1,0
1886,161793.35,85701.34000000001,76092.01000000001,16284.0,8404.0,7880.0,0.101,0.098,0.104,0,0,1
1887,1449579.0,730914.0,718665.0,22394.0,10601.0,11793.0,0.015,0.015,0.016,1,0,0
