Year,january,february,march,april,may,june,july,august,september,october,november,december,max_temp,min_temp
1900,-3.03,-1.0,-4.09,1.96,6.34,11.52,13.97,11.3,11.29,5.53,0.87,-0.61,13.97,-4.09
1901,-4.7,-8.75,-2.63,3.4,7.5,11.31,12.92,11.84,9.58,4.56,-1.39,-2.82,12.92,-8.75
1902,-2.52,-3.1,-0.38,5.12,3.1,9.46,13.1,11.5,9.12,4.04,-0.05,-3.35,13.1,-3.35
1903,-3.55,-0.81,0.52,-0.52,7.11,9.44,11.35,12.2,9.41,5.52,0.11,-3.93,12.2,-3.93
1904,-4.25,-3.13,-0.59,4.64,8.57,11.72,15.13,13.2,7.38,4.95,-0.62,-2.02,15.13,-4.25
1905,-6.29,-4.01,0.1,2.9,5.97,11.17,15.07,12.14,9.44,-0.29,-0.89,-2.44,15.07,-6.29
1906,-3.61,-5.08,-1.6,2.24,7.36,10.05,12.93,13.41,8.71,7.06,1.68,-6.42,13.41,-6.42
1907,-4.66,-5.94,-2.07,1.23,7.76,10.45,10.69,12.99,10.3,6.1,1.56,-1.46,12.99,-5.94
1908,-4.25,-3.65,-2.46,0.65,9.06,12.34,12.13,10.83,8.55,5.87,-0.37,-3.44,12.34,-4.25
1909,-5.39,-6.45,-3.05,4.49,6.76,8.67,10.38,11.81,8.2,6.07,-1.58,-1.46,11.81,-6.45
1910,-3.25,-2.93,-0.59,2.07,5.63,10.72,10.39,11.42,7.06,5.88,-1.42,-0.85,11.42,-3.25
1911,-5.5,-3.07,-0.65,2.01,7.35,10.14,15.26,15.27,11.23,5.09,1.82,-0.86,15.27,-5.5
1912,-2.27,0.09,1.46,1.81,8.05,10.5,11.98,9.07,4.38,3.71,-2.51,-1.11,11.98,-2.51
1913,-2.11,-3.16,1.72,2.49,6.95,10.13,9.54,11.19,8.53,6.58,2.7,-2.83,11.19,-3.16
1914,-6.53,-0.48,-0.02,5.17,5.72,9.16,10.9,12.25,8.54,4.35,-0.66,-1.13,12.25,-6.53
1915,-4.72,-3.81,-1.53,1.75,9.56,12.37,11.82,10.92,7.71,2.49,-2.15,0.77,12.37,-4.72
1916,-0.96,-2.63,-0.06,3.08,8.05,8.32,11.57,11.69,7.26,4.75,0.37,-1.93,11.69,-2.63
1917,-6.13,-5.2,-2.83,-0.45,9.97,12.63,12.5,11.43,11.51,2.53,-0.14,-6.28,12.63,-6.28
1918,-2.8,-2.3,-0.58,3.07,8.66,8.38,12.42,11.94,9.82,3.38,0.3,-0.36,12.42,-2.8
1919,-4.08,-4.03,-0.89,0.36,6.77,10.87,9.43,13.93,11.09,1.25,-2.14,-2.29,13.93,-4.08
1920,-1.04,-0.67,1.91,3.62,10.11,10.36,12.55,10.57,9.4,5.5,0.82,-2.37,12.55,-2.37
1921,-0.48,-3.04,1.07,2.04,8.74,11.0,15.07,12.57,11.28,8.1,-1.45,-2.15,15.07,-3.04
1922,-4.77,-2.72,0.5,1.18,9.49,11.19,11.3,12.24,7.0,3.38,-1.55,-2.97,12.24,-4.77
1923,-4.48,-1.23,0.09,3.12,7.36,7.29,15.09,13.63,8.9,6.88,0.06,-3.85,15.09,-4.48
1924,-4.44,-5.62,-0.52,3.25,8.75,10.67,12.7,9.32,9.49,5.38,1.56,-1.76,12.7,-5.62
1925,-1.25,-1.69,-3.33,2.99,7.64,11.56,12.09,11.8,6.87,5.86,-0.86,-3.32,12.09,-3.33
1926,-3.66,1.27,0.39,4.39,5.67,8.18,11.84,12.74,11.62,5.6,2.64,-3.82,12.74,-3.82
1927,-3.34,-3.13,0.1,3.52,8.4,10.73,12.72,11.77,9.38,5.38,1.36,-2.79,12.72,-3.34
1928,-2.3,-1.48,0.37,3.28,5.28,11.06,16.14,14.12,9.52,4.89,1.35,-4.0,16.14,-4.0
1929,-7.4,-8.43,0.2,0.95,7.95,11.66,13.96,12.66,12.4,5.6,0.8,-1.01,13.96,-8.43
1930,-0.83,-3.94,0.8,3.71,6.21,13.54,11.66,12.37,10.06,4.94,2.63,-2.27,13.54,-3.94
1931,-4.45,-5.28,-1.9,2.1,9.43,13.44,12.22,10.74,5.29,4.6,2.19,-3.98,13.44,-5.28
1932,-1.77,-6.87,-2.09,1.26,6.48,9.72,12.04,15.11,12.38,4.53,1.5,-1.04,15.11,-6.87
1933,-5.76,-3.42,0.6,3.98,5.99,8.27,13.83,13.92,10.21,5.27,-0.96,-5.97,13.92,-5.97
1934,-3.71,-2.76,-0.4,5.58,9.55,11.03,14.11,11.46,11.03,4.98,0.06,0.59,14.11,-3.71
1935,-6.22,-2.65,-1.64,2.08,5.69,12.91,14.01,11.77,10.26,4.76,1.32,-4.02,14.01,-6.22
1936,-0.32,-2.88,1.2,2.61,7.91,10.31,11.79,12.35,9.4,1.53,0.56,-1.76,12.35,-2.88
1937,-1.84,-0.99,-1.54,2.6,9.0,11.76,13.44,12.63,8.75,5.67,0.03,-4.71,13.44,-4.71
1938,-3.32,-3.44,2.49,0.33,5.81,12.36,12.28,12.13,9.76,5.45,3.15,-4.13,12.36,-4.13
1939,-2.11,-1.56,-3.45,4.52,4.6,11.12,11.87,12.56,8.79,3.66,2.34,-3.95,12.56,-3.95
1940,-6.9,-2.72,-0.3,3.17,7.17,10.23,11.4,11.22,9.63,4.76,0.94,-7.17,11.4,-7.17
1941,-5.59,-3.09,0.21,1.71,4.09,11.37,13.93,11.08,9.03,3.65,-0.34,-3.46,13.93,-5.59
1942,-8.26,-6.69,1.62,3.78,7.68,11.5,12.7,12.91,11.48,7.67,-0.98,-1.78,12.91,-8.26
1943,-3.23,-1.69,1.89,4.66,8.91,10.08,13.2,14.43,10.67,7.35,-0.95,-2.21,14.43,-3.23
1944,-1.91,-6.02,-3.45,4.84,7.67,9.91,12.7,15.86,9.02,3.66,-0.5,-4.43,15.86,-6.02
1945,-8.83,-0.01,1.32,5.1,9.58,13.09,14.56,12.02,10.22,5.17,-0.61,-2.76,14.56,-8.83
1946,-4.78,-1.32,1.2,6.23,8.53,10.03,13.86,12.33,10.73,4.43,0.4,-4.75,13.86,-4.78
1947,-6.46,-4.62,0.99,6.27,9.96,13.25,15.17,15.18,12.0,6.31,2.4,-3.07,15.18,-6.46
